Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Fra:1 Mem:52.06M (Peak 52.32M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Foundation
Fra:1 Mem:48.95M (Peak 48.95M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.012
Fra:1 Mem:48.97M (Peak 48.97M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.007
Fra:1 Mem:49.03M (Peak 49.03M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.006
Fra:1 Mem:49.02M (Peak 49.03M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.005
Fra:1 Mem:49.02M (Peak 49.03M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.004
Fra:1 Mem:49.02M (Peak 49.03M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cap.001
Fra:1 Mem:49.02M (Peak 49.03M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.013
Fra:1 Mem:49.03M (Peak 49.03M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern glass.001
Fra:1 Mem:49.01M (Peak 49.03M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.015
Fra:1 Mem:49.03M (Peak 49.03M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern base.001
Fra:1 Mem:49.07M (Peak 49.07M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sconce bracket.001
Fra:1 Mem:49.09M (Peak 49.09M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.003
Fra:1 Mem:49.15M (Peak 49.15M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.002
Fra:1 Mem:49.12M (Peak 49.15M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage.001
Fra:1 Mem:49.14M (Peak 49.15M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cage
Fra:1 Mem:49.11M (Peak 49.15M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.017
Fra:1 Mem:49.14M (Peak 49.15M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern cap
Fra:1 Mem:49.12M (Peak 49.15M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.004
Fra:1 Mem:49.18M (Peak 49.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern glass
Fra:1 Mem:49.16M (Peak 49.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lantern base
Fra:1 Mem:49.15M (Peak 49.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sconce bracket
Fra:1 Mem:49.16M (Peak 49.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Subtle damp boot mark.002
Fra:1 Mem:49.16M (Peak 49.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.005
Fra:1 Mem:49.24M (Peak 49.24M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.006
Fra:1 Mem:49.21M (Peak 49.24M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.018
Fra:1 Mem:49.31M (Peak 49.31M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.019
Fra:1 Mem:49.34M (Peak 49.34M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Subtle damp boot mark
Fra:1 Mem:49.36M (Peak 49.36M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.020
Fra:1 Mem:49.37M (Peak 49.37M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.021
Fra:1 Mem:49.39M (Peak 49.39M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Boot wiping mat
Fra:1 Mem:49.39M (Peak 49.39M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.022
Fra:1 Mem:49.45M (Peak 49.45M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.023
Fra:1 Mem:49.49M (Peak 49.49M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.024
Fra:1 Mem:49.51M (Peak 49.51M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.025
Fra:1 Mem:49.52M (Peak 49.52M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Furled umbrella.003
Fra:1 Mem:49.58M (Peak 49.58M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.026
Fra:1 Mem:49.59M (Peak 49.59M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.008
Fra:1 Mem:49.59M (Peak 49.59M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Furled umbrella.002
Fra:1 Mem:49.62M (Peak 49.62M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.009
Fra:1 Mem:49.67M (Peak 49.67M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.010
Fra:1 Mem:49.71M (Peak 49.71M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Furled umbrella.001
Fra:1 Mem:49.68M (Peak 49.71M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.011
Fra:1 Mem:49.74M (Peak 49.74M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Furled umbrella
Fra:1 Mem:49.77M (Peak 49.77M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.027
Fra:1 Mem:49.83M (Peak 49.83M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Umbrella stand dark interior
Fra:1 Mem:49.83M (Peak 49.83M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.028
Fra:1 Mem:49.81M (Peak 49.83M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.029
Fra:1 Mem:49.85M (Peak 49.85M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.030
Fra:1 Mem:49.87M (Peak 49.87M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Umbrella stand
Fra:1 Mem:49.93M (Peak 49.93M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.031
Fra:1 Mem:49.98M (Peak 49.98M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mouthpiece dark opening
Fra:1 Mem:49.94M (Peak 49.98M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.032
Fra:1 Mem:49.94M (Peak 49.98M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Speaking tube mouthpiece
Fra:1 Mem:49.98M (Peak 49.98M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Conduit bracket.003
Fra:1 Mem:50.00M (Peak 50.00M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Conduit bracket.002
Fra:1 Mem:50.01M (Peak 50.01M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.034
Fra:1 Mem:49.99M (Peak 50.01M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Conduit bracket.001
Fra:1 Mem:50.00M (Peak 50.01M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.035
Fra:1 Mem:50.06M (Peak 50.06M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.012
Fra:1 Mem:50.06M (Peak 50.06M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.013
Fra:1 Mem:50.13M (Peak 50.13M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.014
Fra:1 Mem:50.10M (Peak 50.13M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.015
Fra:1 Mem:50.17M (Peak 50.17M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Conduit bracket
Fra:1 Mem:50.16M (Peak 50.17M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.036
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.037
Fra:1 Mem:50.16M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.038
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.039
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.042
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.044
Fra:1 Mem:50.17M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.016
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.017
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.019
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.045
Fra:1 Mem:50.17M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.046
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.047
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.048
Fra:1 Mem:50.17M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.050
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.051
Fra:1 Mem:50.17M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.053
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.020
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.021
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.023
Fra:1 Mem:50.18M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.054
Fra:1 Mem:50.17M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.056
Fra:1 Mem:50.17M (Peak 50.18M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.058
Fra:1 Mem:50.20M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.059
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.061
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.029
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.024
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.025
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.026
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.027
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.064
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.065
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.068
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.028
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.069
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.070
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.028
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.029
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.030
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.031
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.073
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.074
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.075
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.076
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.079
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.026
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.080
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.025
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster pin.005
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.033
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Public service sheet.005
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.024
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.035
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.036
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.037
Fra:1 Mem:50.18M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.082
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.083
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.084
Fra:1 Mem:50.18M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.086
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.023
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North ashlar.089
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.022
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.039
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.040
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.041
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.042
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | West ashlar.043
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North pilaster
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North pilaster.001
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.021
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North capital.001
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.020
Fra:1 Mem:50.17M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North pilaster.002
Fra:1 Mem:50.20M (Peak 50.20M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North capital.002
Fra:1 Mem:50.22M (Peak 50.22M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Public service sheet.004
Fra:1 Mem:50.23M (Peak 50.23M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North pilaster.003
Fra:1 Mem:50.23M (Peak 50.23M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.019
Fra:1 Mem:50.23M (Peak 50.23M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.018
Fra:1 Mem:50.25M (Peak 50.25M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.017
Fra:1 Mem:50.26M (Peak 50.26M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.016
Fra:1 Mem:50.25M (Peak 50.26M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North capital.003
Fra:1 Mem:50.24M (Peak 50.26M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | North coping
Fra:1 Mem:50.23M (Peak 50.26M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | South cutaway sill.001
Fra:1 Mem:50.24M (Peak 50.26M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster pin.003
Fra:1 Mem:50.28M (Peak 50.28M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brass main door
Fra:1 Mem:50.33M (Peak 50.33M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door jamb
Fra:1 Mem:50.34M (Peak 50.34M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Public service sheet.003
Fra:1 Mem:50.35M (Peak 50.35M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.014
Fra:1 Mem:50.35M (Peak 50.35M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.013
Fra:1 Mem:50.36M (Peak 50.36M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.012
Fra:1 Mem:50.37M (Peak 50.37M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.011
Fra:1 Mem:50.36M (Peak 50.37M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door jamb.001
Fra:1 Mem:50.34M (Peak 50.37M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door lintel
Fra:1 Mem:50.36M (Peak 50.37M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet
Fra:1 Mem:50.37M (Peak 50.37M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster pin.002
Fra:1 Mem:50.36M (Peak 50.37M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Public service sheet.002
Fra:1 Mem:50.37M (Peak 50.37M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.001
Fra:1 Mem:50.37M (Peak 50.37M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.009
Fra:1 Mem:50.39M (Peak 50.39M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.002
Fra:1 Mem:50.38M (Peak 50.39M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.008
Fra:1 Mem:50.39M (Peak 50.39M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.003
Fra:1 Mem:50.40M (Peak 50.40M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.004
Fra:1 Mem:50.40M (Peak 50.40M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.005
Fra:1 Mem:50.40M (Peak 50.40M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.007
Fra:1 Mem:50.40M (Peak 50.40M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.009
Fra:1 Mem:50.40M (Peak 50.40M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.010
Fra:1 Mem:50.41M (Peak 50.41M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roster unlettered line.006
Fra:1 Mem:50.45M (Peak 50.45M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door rivet.011
Fra:1 Mem:50.45M (Peak 50.45M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door hinge
Fra:1 Mem:50.45M (Peak 50.45M) | Time:00:00.14 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door hinge.001
